lng,lat
-122.2674681,37.7806838839
-122.267437596,37.7806825806
-122.267407594,37.7806813535
-122.26737725,37.7806800477
-122.267346852,37.7806787389
-122.267316474,37.7806774511
-122.267286361,37.7806761603
-122.267255367,37.7806749966
-122.267224652,37.7806737235
-122.267194108,37.7806724802
-122.267163093,37.7806711957
-122.267132096,37.78066996
-122.267101083,37.7806686076
-122.267070439,37.7806673962
-122.267039127,37.780666228
-122.267007886,37.7806652301
-122.266976268,37.7806642687
-122.266944866,37.7806631891
-122.266913548,37.7806618455
-122.266882035,37.7806605617
-122.266850437,37.7806592831
-122.266818869,37.7806578339
-122.266787134,37.7806565745
-122.266755438,37.7806555074
-122.266723477,37.7806542231
-122.26669132,37.7806528775
-122.266659151,37.7806516852
-122.266626635,37.7806504229
-122.266594067,37.7806491162
-122.266561506,37.7806478559
-122.266528715,37.780646586
-122.266495876,37.7806452987
-122.266462517,37.780643878
-122.266429835,37.780642557
-122.266396723,37.7806412848
-122.266363067,37.7806396607
-122.266329765,37.7806380882
-122.266296814,37.7806365906
-122.266263316,37.7806350033
